Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
7442,70,MRU,0.00,2.33%
4098,157,MRU,0.09,2.33%
7131,194,MRU,0.09,2.33%
3168,30,MRU,0.09,2.32%
1750,29,MRU,0.09,2.32%
6673,31,MRU,0.09,2.32%
5982,49,MRU,0.09,2.31%
12066,42,MRU,0.09,2.31%
11992,50,MRU,0.09,2.31%
1634,42,MRU,0.09,2.30%
8751,52,MRU,0.09,2.30%
748,46,MRU,0.09,2.30%
6627,93,MRU,0.09,2.29%
4342,51,MRU,0.09,2.29%
5273,147,MRU,0.09,2.29%
11596,143,MRU,0.09,2.28%
10802,161,MRU,0.00,2.42%
6317,124,MRU,0.09,2.42%
6669,31,MRU,0.09,2.41%
12760,76,MRU,0.09,2.41%
11241,99,MRU,0.09,2.41%
3790,175,MRU,0.09,2.40%
2263,37,MRU,0.09,2.40%
9703,135,MRU,0.09,2.40%
9202,60,MRU,0.09,2.39%
2250,45,MRU,0.09,2.39%
2806,128,MRU,0.09,2.39%
5349,46,MRU,0.13,2.38%
1763,117,MRU,0.00,2.52%
3498,118,MRU,0.14,2.52%
8154,65,MRU,0.13,2.51%
12577,37,MRU,0.09,2.51%
8640,47,MRU,0.09,2.51%
5365,72,MRU,0.09,2.50%
10741,99,MRU,0.09,2.50%
3010,40,MRU,0.09,2.50%
11765,50,MRU,0.00,2.63%
8999,184,MRU,0.09,2.63%
11260,161,MRU,0.09,2.62%
8892,184,MRU,0.00,2.76%
799,72,MRU,0.11,2.75%
10594,99,MRU,0.09,2.75%
4604,59,MRU,0.09,2.75%
6414,49,MRU,0.09,2.74%
12927,81,MRU,0.09,2.74%
5652,129,MRU,0.09,2.74%
8379,158,MRU,0.09,2.73%
5398,67,MRU,0.09,2.73%
7945,127,MRU,0.09,2.72%
10187,34,MRU,0.09,2.72%
3872,100,MRU,0.09,2.72%
7227,132,MRU,0.09,2.71%
12671,156,MRU,0.09,2.71%
1551,153,MRU,0.09,2.71%
9991,166,MRU,0.09,2.70%
1105,93,MRU,0.09,2.70%
1532,47,MRU,0.09,2.70%
756,108,MRU,0.09,2.69%
1781,73,MRU,0.09,2.69%
4631,108,MRU,0.09,2.68%
614,38,MRU,0.09,2.68%
902,54,MRU,0.09,2.68%
6529,168,MRU,0.09,2.67%
10202,86,MRU,0.09,2.67%
5613,129,MRU,0.16,2.67%
12305,156,MRU,0.15,2.66%
12244,50,MRU,0.00,2.79%
3289,136,MRU,0.11,2.79%
10286,55,MRU,0.00,2.92%
7290,44,MRU,0.10,2.91%
2544,58,MRU,0.09,2.91%
7134,194,MRU,0.09,2.91%
9747,122,MRU,0.00,3.03%
9941,91,MRU,0.11,3.03%
2538,40,MRU,0.11,3.03%
8659,52,MRU,0.10,3.02%
10538,55,MRU,0.09,3.02%
8167,158,MRU,0.11,3.01%
3939,25,MRU,0.00,3.14%
12953,169,MRU,0.10,3.14%
9948,73,MRU,0.09,3.13%
8677,78,MRU,0.09,3.13%
2644,115,MRU,0.09,3.12%
10271,60,MRU,0.09,3.12%
6409,124,MRU,0.09,3.12%
